Trials = 10000
Wishes Available: 1        X: 99.7000%       C0: 0.3000%        C1: 0.0000%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 2        X: 99.4100%       C0: 0.5900%        C1: 0.0000%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 3        X: 99.1200%       C0: 0.8800%        C1: 0.0000%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 4        X: 98.7300%       C0: 1.2700%        C1: 0.0000%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 5        X: 98.4500%       C0: 1.5400%        C1: 0.0100%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 6        X: 98.3100%       C0: 1.6800%        C1: 0.0100%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 7        X: 98.0000%       C0: 1.9800%        C1: 0.0200%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 8        X: 97.6300%       C0: 2.3400%        C1: 0.0300%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 9        X: 97.4200%       C0: 2.5200%        C1: 0.0600%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 10       X: 96.8200%       C0: 3.1600%        C1: 0.0200%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 11       X: 96.5000%       C0: 3.4300%        C1: 0.0700%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 12       X: 96.4500%       C0: 3.4300%        C1: 0.1200%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 13       X: 96.0800%       C0: 3.8000%        C1: 0.1200%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 14       X: 95.6000%       C0: 4.3500%        C1: 0.0500%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 15       X: 95.5900%       C0: 4.3600%        C1: 0.0400%        C2: 0.0100%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 16       X: 95.3300%       C0: 4.5600%        C1: 0.1100%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 17       X: 94.8000%       C0: 5.0700%        C1: 0.1300%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 18       X: 94.4000%       C0: 5.4500%        C1: 0.1500%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 19       X: 94.3700%       C0: 5.4300%        C1: 0.2000%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 20       X: 94.0000%       C0: 5.7900%        C1: 0.2000%        C2: 0.0100%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 21       X: 93.9500%       C0: 5.8400%        C1: 0.2100%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 22       X: 93.4400%       C0: 6.4300%        C1: 0.1300%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
Wishes Available: 23       X: 93.0000%       C0: 6.6800%        C1: 0.3200%        C2: 0.0000%        C3: 0.0000%        C4: 0.0000%        C5: 0.0000%        C6: 0.0000%   
